Alg,Function,Dim,Run,Best
ENS pop6 div1e-3 (joriy),Ackley,30,0,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,1,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,2,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,3,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,4,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,5,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,6,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,7,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,8,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,9,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,10,1.1102230246251565e-14
ENS pop6 div1e-3 (joriy),Ackley,30,11,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,12,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,13,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),Ackley,30,14,7.549516567451064e-15
ENS pop6 div1e-3 (joriy),BentCigar,30,0,2.0194839173657902e-22
ENS pop6 div1e-3 (joriy),BentCigar,30,1,5.0487097934144756e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,2,0.0
ENS pop6 div1e-3 (joriy),BentCigar,30,3,5.0487097934144756e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,4,1.2621774483536189e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,5,6.310887241768094e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,6,1.0097419586828951e-22
ENS pop6 div1e-3 (joriy),BentCigar,30,7,7.573064690121713e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,8,0.0
ENS pop6 div1e-3 (joriy),BentCigar,30,9,1.2621774483536189e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,10,1.0097419586828951e-22
ENS pop6 div1e-3 (joriy),BentCigar,30,11,1.2621774483536189e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,12,5.0487097934144756e-23
ENS pop6 div1e-3 (joriy),BentCigar,30,13,0.0
ENS pop6 div1e-3 (joriy),BentCigar,30,14,1.0412963948917356e-22
ENS pop6 div1e-3 (joriy),Composition,30,0,1.998401444325288e-15
ENS pop6 div1e-3 (joriy),Composition,30,1,2.220446049250313e-16
ENS pop6 div1e-3 (joriy),Composition,30,2,1.998401444325307e-15
ENS pop6 div1e-3 (joriy),Composition,30,3,1.998401444325288e-15
ENS pop6 div1e-3 (joriy),Composition,30,4,2.220446049250313e-16
ENS pop6 div1e-3 (joriy),Composition,30,5,2.220446049250313e-16
ENS pop6 div1e-3 (joriy),Composition,30,6,1.998401444325307e-15
ENS pop6 div1e-3 (joriy),Composition,30,7,1.998401444325307e-15
ENS pop6 div1e-3 (joriy),Composition,30,8,1.998401444325288e-15
ENS pop6 div1e-3 (joriy),Composition,30,9,1.998401444325307e-15
ENS pop6 div1e-3 (joriy),Composition,30,10,3.774758283725564e-15
ENS pop6 div1e-3 (joriy),Composition,30,11,1.998401444325307e-15
ENS pop6 div1e-3 (joriy),Composition,30,12,5.551115123125884e-15
ENS pop6 div1e-3 (joriy),Composition,30,13,1.998401444325307e-15
ENS pop6 div1e-3 (joriy),Composition,30,14,1.998401444325288e-15
ENS pop6 div1e-3 (joriy),DynamicSphere,30,0,0.08311982916001986
ENS pop6 div1e-3 (joriy),DynamicSphere,30,1,0.06744307275453218
ENS pop6 div1e-3 (joriy),DynamicSphere,30,2,0.09786761800848694
ENS pop6 div1e-3 (joriy),DynamicSphere,30,3,0.07635387387533424
ENS pop6 div1e-3 (joriy),DynamicSphere,30,4,0.07490232979965349
ENS pop6 div1e-3 (joriy),DynamicSphere,30,5,0.07047880374663686
ENS pop6 div1e-3 (joriy),DynamicSphere,30,6,0.08369517147542149
ENS pop6 div1e-3 (joriy),DynamicSphere,30,7,0.06818083977247763
ENS pop6 div1e-3 (joriy),DynamicSphere,30,8,0.09832636258485294
ENS pop6 div1e-3 (joriy),DynamicSphere,30,9,0.08066037511889823
ENS pop6 div1e-3 (joriy),DynamicSphere,30,10,0.07068462748791796
ENS pop6 div1e-3 (joriy),DynamicSphere,30,11,0.11540697591369337
ENS pop6 div1e-3 (joriy),DynamicSphere,30,12,0.08046499304750585
ENS pop6 div1e-3 (joriy),DynamicSphere,30,13,0.07994509874721374
ENS pop6 div1e-3 (joriy),DynamicSphere,30,14,0.11640755483341611
ENS pop6 div1e-3 (joriy),Griewank,30,0,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,1,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,2,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,3,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,4,0.00985728460782076
ENS pop6 div1e-3 (joriy),Griewank,30,5,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,6,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,7,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,8,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,9,0.0
ENS pop6 div1e-3 (joriy),Griewank,30,10,0.0
