Algorithm,Function,Dimension,Run,Best
CBA-SHADE,Ackley,30,0,7.549516567451064e-15
CBA-SHADE,Ackley,30,1,7.549516567451064e-15
CBA-SHADE,Ackley,30,2,7.549516567451064e-15
CBA-SHADE,Ackley,30,3,7.549516567451064e-15
CBA-SHADE,Ackley,30,4,7.549516567451064e-15
CBA-SHADE,Ackley,30,5,7.549516567451064e-15
CBA-SHADE,Ackley,30,6,7.549516567451064e-15
CBA-SHADE,Ackley,30,7,7.549516567451064e-15
CBA-SHADE,Ackley,30,8,7.549516567451064e-15
CBA-SHADE,Ackley,30,9,7.549516567451064e-15
CBA-SHADE,Ackley,30,10,3.996802888650564e-15
CBA-SHADE,Ackley,30,11,7.549516567451064e-15
CBA-SHADE,Ackley,30,12,7.549516567451064e-15
CBA-SHADE,Ackley,30,13,7.549516567451064e-15
CBA-SHADE,Ackley,30,14,7.549516567451064e-15
CBA-SHADE,Ackley,30,15,7.549516567451064e-15
CBA-SHADE,Ackley,30,16,7.549516567451064e-15
CBA-SHADE,Ackley,30,17,3.996802888650564e-15
CBA-SHADE,Ackley,30,18,7.549516567451064e-15
CBA-SHADE,Ackley,30,19,7.549516567451064e-15
CBA-SHADE,Ackley,30,20,7.549516567451064e-15
CBA-SHADE,Ackley,30,21,1.1102230246251564e-14
CBA-SHADE,Ackley,30,22,7.549516567451064e-15
CBA-SHADE,Ackley,30,23,7.549516567451064e-15
CBA-SHADE,Ackley,30,24,7.549516567451064e-15
CBA-SHADE,Ackley,30,25,7.549516567451064e-15
CBA-SHADE,Ackley,30,26,7.549516567451064e-15
CBA-SHADE,Ackley,30,27,7.549516567451064e-15
CBA-SHADE,Ackley,30,28,7.549516567451064e-15
CBA-SHADE,Ackley,30,29,7.549516567451064e-15
CBA-SHADE,BentCigar,30,0,4.081384346024455e-21
CBA-SHADE,BentCigar,30,1,1.5514756256541887e-20
CBA-SHADE,BentCigar,30,2,5.397011560415972e-21
CBA-SHADE,BentCigar,30,3,7.761571176023252e-22
CBA-SHADE,BentCigar,30,4,2.0547490298439064e-21
CBA-SHADE,BentCigar,30,5,1.0712285859806434e-22
CBA-SHADE,BentCigar,30,6,1.3156173764282819e-20
CBA-SHADE,BentCigar,30,7,1.2754967028839762e-21
CBA-SHADE,BentCigar,30,8,3.322690021399954e-21
CBA-SHADE,BentCigar,30,9,9.797984553286065e-22
CBA-SHADE,BentCigar,30,10,3.257225610319283e-22
CBA-SHADE,BentCigar,30,11,7.050608549698825e-22
CBA-SHADE,BentCigar,30,12,4.9096273372800665e-21
CBA-SHADE,BentCigar,30,13,4.075352947468242e-22
CBA-SHADE,BentCigar,30,14,1.294991856355722e-21
CBA-SHADE,BentCigar,30,15,1.1507042742987505e-21
CBA-SHADE,BentCigar,30,16,9.721371565462358e-23
CBA-SHADE,BentCigar,30,17,5.181029664497092e-21
CBA-SHADE,BentCigar,30,18,1.4967817817136602e-21
CBA-SHADE,BentCigar,30,19,9.999293178828511e-25
CBA-SHADE,BentCigar,30,20,7.479431936759998e-21
CBA-SHADE,BentCigar,30,21,1.6409507190904866e-21
CBA-SHADE,BentCigar,30,22,1.1964593782600133e-21
CBA-SHADE,BentCigar,30,23,6.638303992823373e-21
CBA-SHADE,BentCigar,30,24,7.474375737521149e-22
CBA-SHADE,BentCigar,30,25,1.5597271536368334e-20
CBA-SHADE,BentCigar,30,26,7.762991728342382e-21
CBA-SHADE,BentCigar,30,27,1.0218659619352367e-20
CBA-SHADE,BentCigar,30,28,6.2657967105209906e-21
CBA-SHADE,BentCigar,30,29,2.662247222848628e-22
CBA-SHADE,Composition,30,0,2.220446049250313e-16
CBA-SHADE,Composition,30,1,2.220446049250313e-16
CBA-SHADE,Composition,30,2,2.2204460492503136e-16
CBA-SHADE,Composition,30,3,1.9984014443252944e-15
CBA-SHADE,Composition,30,4,2.220446049250313e-16
CBA-SHADE,Composition,30,5,2.220446049250313e-16
CBA-SHADE,Composition,30,6,1.998401444325288e-15
CBA-SHADE,Composition,30,7,3.774758283725594e-15
CBA-SHADE,Composition,30,8,1.998401444325307e-15
CBA-SHADE,Composition,30,9,1.998401444325287e-15
CBA-SHADE,Composition,30,10,2.220446049250313e-16
CBA-SHADE,Composition,30,11,1.998401444325307e-15
CBA-SHADE,Composition,30,12,2.220446049250313e-16
CBA-SHADE,Composition,30,13,3.774758283725597e-15
CBA-SHADE,Composition,30,14,2.220446049250313e-16
CBA-SHADE,Composition,30,15,2.220446049250313e-16
CBA-SHADE,Composition,30,16,2.220446049250314e-16
CBA-SHADE,Composition,30,17,2.220446049250313e-16
CBA-SHADE,Composition,30,18,1.9984014443252853e-15
CBA-SHADE,Composition,30,19,2.220446049250313e-16
CBA-SHADE,Composition,30,20,2.220446049250313e-16
CBA-SHADE,Composition,30,21,2.220446049250313e-16
CBA-SHADE,Composition,30,22,2.220446049250313e-16
CBA-SHADE,Composition,30,23,2.2204460492503136e-16
CBA-SHADE,Composition,30,24,1.998401444325307e-15
CBA-SHADE,Composition,30,25,2.220446049250313e-16
CBA-SHADE,Composition,30,26,1.998401444325288e-15
CBA-SHADE,Composition,30,27,1.9984014443252845e-15
CBA-SHADE,Composition,30,28,2.220446049250313e-16
CBA-SHADE,Composition,30,29,2.220446049250313e-16
CBA-SHADE,DynamicSphere,30,0,0.0093864147649563
CBA-SHADE,DynamicSphere,30,1,0.0095086125552573
CBA-SHADE,DynamicSphere,30,2,0.0256566716088183
CBA-SHADE,DynamicSphere,30,3,0.0149851856537573
CBA-SHADE,DynamicSphere,30,4,0.0172268316408828
CBA-SHADE,DynamicSphere,30,5,0.0173987092511138
CBA-SHADE,DynamicSphere,30,6,0.0267327805887605
CBA-SHADE,DynamicSphere,30,7,0.0169383360416602
CBA-SHADE,DynamicSphere,30,8,0.021144479098283
CBA-SHADE,DynamicSphere,30,9,0.0129409477528882
CBA-SHADE,DynamicSphere,30,10,0.0096501416431676
CBA-SHADE,DynamicSphere,30,11,0.0240455925743546
CBA-SHADE,DynamicSphere,30,12,0.0160641559676872
CBA-SHADE,DynamicSphere,30,13,0.0106486052386272
CBA-SHADE,DynamicSphere,30,14,0.0150644139271472
CBA-SHADE,DynamicSphere,30,15,0.0122779124753599
CBA-SHADE,DynamicSphere,30,16,0.0103614350184694
CBA-SHADE,DynamicSphere,30,17,0.0113123596575697
CBA-SHADE,DynamicSphere,30,18,0.0189160424990569
CBA-SHADE,DynamicSphere,30,19,0.0055120738854812
CBA-SHADE,DynamicSphere,30,20,0.0191622459702288
CBA-SHADE,DynamicSphere,30,21,0.0063729958128085
CBA-SHADE,DynamicSphere,30,22,0.0106727992460509
CBA-SHADE,DynamicSphere,30,23,0.0134920221247002
CBA-SHADE,DynamicSphere,30,24,0.0231954591129428
CBA-SHADE,DynamicSphere,30,25,0.0144961261621248
CBA-SHADE,DynamicSphere,30,26,0.0115147838298224
CBA-SHADE,DynamicSphere,30,27,0.0071379504098043
CBA-SHADE,DynamicSphere,30,28,0.0125718782029085
CBA-SHADE,DynamicSphere,30,29,0.015200678129909
CBA-SHADE,Griewank,30,0,0.0
CBA-SHADE,Griewank,30,1,0.0
CBA-SHADE,Griewank,30,2,0.0
CBA-SHADE,Griewank,30,3,0.0
CBA-SHADE,Griewank,30,4,0.0
CBA-SHADE,Griewank,30,5,0.0
CBA-SHADE,Griewank,30,6,0.0
CBA-SHADE,Griewank,30,7,0.0
CBA-SHADE,Griewank,30,8,0.0
CBA-SHADE,Griewank,30,9,0.0
CBA-SHADE,Griewank,30,10,0.0
CBA-SHADE,Griewank,30,11,0.0
CBA-SHADE,Griewank,30,12,0.0
CBA-SHADE,Griewank,30,13,0.0
CBA-SHADE,Griewank,30,14,0.0
CBA-SHADE,Griewank,30,15,0.0
CBA-SHADE,Griewank,30,16,0.0
CBA-SHADE,Griewank,30,17,0.0
CBA-SHADE,Griewank,30,18,0.0
CBA-SHADE,Griewank,30,19,0.0
CBA-SHADE,Griewank,30,20,0.0
CBA-SHADE,Griewank,30,21,0.0
CBA-SHADE,Griewank,30,22,0.0
CBA-SHADE,Griewank,30,23,0.0
CBA-SHADE,Griewank,30,24,0.0
CBA-SHADE,Griewank,30,25,0.0
CBA-SHADE,Griewank,30,26,0.0
CBA-SHADE,Griewank,30,27,0.0
CBA-SHADE,Griewank,30,28,0.0
CBA-SHADE,Griewank,30,29,0.0
CBA-SHADE,Levy,30,0,5.130112917518737e-31
CBA-SHADE,Levy,30,1,1.4997597826618576e-32
CBA-SHADE,Levy,30,2,1.5583424861786968e-30
CBA-SHADE,Levy,30,3,1.4997597826618576e-32
CBA-SHADE,Levy,30,4,7.122167693219754e-31
CBA-SHADE,Levy,30,5,1.4997597826618576e-32
CBA-SHADE,Levy,30,6,4.134085529668223e-31
CBA-SHADE,Levy,30,7,1.4997597826618576e-32
CBA-SHADE,Levy,30,8,1.4997597826618576e-32
CBA-SHADE,Levy,30,9,1.4997597826618576e-32
CBA-SHADE,Levy,30,10,1.4997597826618576e-32
CBA-SHADE,Levy,30,11,1.4997597826618576e-32
CBA-SHADE,Levy,30,12,1.4997597826618576e-32
CBA-SHADE,Levy,30,13,1.4997597826618576e-32
CBA-SHADE,Levy,30,14,1.060328792253442e-30
CBA-SHADE,Levy,30,15,1.4997597826618576e-32
CBA-SHADE,Levy,30,16,1.6390414318798284e-31
CBA-SHADE,Levy,30,17,1.4997597826618576e-32
CBA-SHADE,Levy,30,18,8.6112331468334e-31
CBA-SHADE,Levy,30,19,1.4997597826618576e-32
CBA-SHADE,Levy,30,20,1.4997597826618576e-32
CBA-SHADE,Levy,30,21,1.4997597826618576e-32
CBA-SHADE,Levy,30,22,1.4997597826618576e-32
CBA-SHADE,Levy,30,23,1.4997597826618576e-32
CBA-SHADE,Levy,30,24,4.134085529668223e-31
CBA-SHADE,Levy,30,25,2.142030753967206e-31
CBA-SHADE,Levy,30,26,1.4997597826618576e-32
CBA-SHADE,Levy,30,27,2.6350688197303385e-31
CBA-SHADE,Levy,30,28,4.134085529668227e-31
CBA-SHADE,Levy,30,29,2.6350688197303385e-31
CBA-SHADE,NoisyRastrigin,30,0,0.1976207580872593
CBA-SHADE,NoisyRastrigin,30,1,0.1756361298604911
CBA-SHADE,NoisyRastrigin,30,2,0.2104020372206569
CBA-SHADE,NoisyRastrigin,30,3,0.1994880459124832
CBA-SHADE,NoisyRastrigin,30,4,0.1925555773812917
CBA-SHADE,NoisyRastrigin,30,5,0.158668251763224
CBA-SHADE,NoisyRastrigin,30,6,0.255350341403787
CBA-SHADE,NoisyRastrigin,30,7,0.2275681677625343
CBA-SHADE,NoisyRastrigin,30,8,0.1883755081558114
CBA-SHADE,NoisyRastrigin,30,9,0.1343756046936555
CBA-SHADE,NoisyRastrigin,30,10,0.184995609442419
CBA-SHADE,NoisyRastrigin,30,11,0.1346547091402712
CBA-SHADE,NoisyRastrigin,30,12,0.1902483282995604
CBA-SHADE,NoisyRastrigin,30,13,0.2318149390821098
CBA-SHADE,NoisyRastrigin,30,14,0.1995338506626591
CBA-SHADE,NoisyRastrigin,30,15,0.2145033034740944
CBA-SHADE,NoisyRastrigin,30,16,0.1613326387313094
CBA-SHADE,NoisyRastrigin,30,17,0.2249460322708429
CBA-SHADE,NoisyRastrigin,30,18,0.2795037134109677
CBA-SHADE,NoisyRastrigin,30,19,0.2487907929305333
CBA-SHADE,NoisyRastrigin,30,20,0.1918252622505694
CBA-SHADE,NoisyRastrigin,30,21,0.2505894440695275
CBA-SHADE,NoisyRastrigin,30,22,0.2173429118504977
CBA-SHADE,NoisyRastrigin,30,23,0.2124083152284193
CBA-SHADE,NoisyRastrigin,30,24,0.2499287988122081
CBA-SHADE,NoisyRastrigin,30,25,0.192802626102404
CBA-SHADE,NoisyRastrigin,30,26,0.2437583974425408
CBA-SHADE,NoisyRastrigin,30,27,0.1191032910263132
CBA-SHADE,NoisyRastrigin,30,28,0.1337549325239031
CBA-SHADE,NoisyRastrigin,30,29,0.196455044544427
CBA-SHADE,NoisySphere,30,0,0.015625668451146
CBA-SHADE,NoisySphere,30,1,0.011938500439764
CBA-SHADE,NoisySphere,30,2,0.0121068043718993
CBA-SHADE,NoisySphere,30,3,0.0079775746958641
CBA-SHADE,NoisySphere,30,4,0.0263018204594318
CBA-SHADE,NoisySphere,30,5,0.0078243647889469
CBA-SHADE,NoisySphere,30,6,0.0184830566918941
CBA-SHADE,NoisySphere,30,7,0.0113433609649552
CBA-SHADE,NoisySphere,30,8,0.0127624308713256
CBA-SHADE,NoisySphere,30,9,0.016355021165301
CBA-SHADE,NoisySphere,30,10,0.0129712728258247
CBA-SHADE,NoisySphere,30,11,0.0113907103965481
CBA-SHADE,NoisySphere,30,12,0.012003688976861
CBA-SHADE,NoisySphere,30,13,0.0143881294581003
CBA-SHADE,NoisySphere,30,14,0.0112637070859223
CBA-SHADE,NoisySphere,30,15,0.0088702329104041
CBA-SHADE,NoisySphere,30,16,0.0129306934074611
CBA-SHADE,NoisySphere,30,17,0.0134187057842458
CBA-SHADE,NoisySphere,30,18,0.0220311445715661
CBA-SHADE,NoisySphere,30,19,0.0149230521679764
CBA-SHADE,NoisySphere,30,20,0.0084680996195921
CBA-SHADE,NoisySphere,30,21,0.0161755414935407
CBA-SHADE,NoisySphere,30,22,0.0165929819590474
CBA-SHADE,NoisySphere,30,23,0.0125776832598816
CBA-SHADE,NoisySphere,30,24,0.0131712567531718
CBA-SHADE,NoisySphere,30,25,0.0152675494063486
CBA-SHADE,NoisySphere,30,26,0.0121017130389627
CBA-SHADE,NoisySphere,30,27,0.0129431816773267
CBA-SHADE,NoisySphere,30,28,0.0163811072978511
CBA-SHADE,NoisySphere,30,29,0.0100126490775706
CBA-SHADE,Rosenbrock,30,0,0.0750582761618529
CBA-SHADE,Rosenbrock,30,1,0.1999973806121542
CBA-SHADE,Rosenbrock,30,2,0.191108560362658
CBA-SHADE,Rosenbrock,30,3,0.0056387762094298
CBA-SHADE,Rosenbrock,30,4,0.4409037021408422
CBA-SHADE,Rosenbrock,30,5,0.3215143802565909
CBA-SHADE,Rosenbrock,30,6,0.049917256295346
CBA-SHADE,Rosenbrock,30,7,0.1092697262568812
CBA-SHADE,Rosenbrock,30,8,0.0420991560365696
CBA-SHADE,Rosenbrock,30,9,3.986623911826437
CBA-SHADE,Rosenbrock,30,10,0.5844801927592238
CBA-SHADE,Rosenbrock,30,11,0.0448104896835035
CBA-SHADE,Rosenbrock,30,12,0.0005198512202244
CBA-SHADE,Rosenbrock,30,13,0.2196694473993533
CBA-SHADE,Rosenbrock,30,14,0.0181881983300108
CBA-SHADE,Rosenbrock,30,15,0.0021432315302839
CBA-SHADE,Rosenbrock,30,16,0.2393976352309909
CBA-SHADE,Rosenbrock,30,17,0.0208284212646866
CBA-SHADE,Rosenbrock,30,18,0.008669613560063
CBA-SHADE,Rosenbrock,30,19,0.1540896055982928
CBA-SHADE,Rosenbrock,30,20,0.4897842612602822
CBA-SHADE,Rosenbrock,30,21,0.0449647731010366
CBA-SHADE,Rosenbrock,30,22,0.9239366642534828
CBA-SHADE,Rosenbrock,30,23,0.540695147018063
CBA-SHADE,Rosenbrock,30,24,0.2220765255062648
CBA-SHADE,Rosenbrock,30,25,3.986698841012144
CBA-SHADE,Rosenbrock,30,26,0.0284425022982219
CBA-SHADE,Rosenbrock,30,27,1.748295907544414e-08
CBA-SHADE,Rosenbrock,30,28,0.0004699929927303
CBA-SHADE,Rosenbrock,30,29,1.271502549265046
CBA-SHADE,RotatedElliptic,30,0,936.362370611246
CBA-SHADE,RotatedElliptic,30,1,9093.377597945198
CBA-SHADE,RotatedElliptic,30,2,748.0589114948402
CBA-SHADE,RotatedElliptic,30,3,504.0219922737655
CBA-SHADE,RotatedElliptic,30,4,7036.881617620033
CBA-SHADE,RotatedElliptic,30,5,17526.772929696257
CBA-SHADE,RotatedElliptic,30,6,1295.147608764874
CBA-SHADE,RotatedElliptic,30,7,2278.355079040699
CBA-SHADE,RotatedElliptic,30,8,62.92504433789888
CBA-SHADE,RotatedElliptic,30,9,922.6241084514484
CBA-SHADE,RotatedElliptic,30,10,18823.000621496456
CBA-SHADE,RotatedElliptic,30,11,1381.6564285308414
CBA-SHADE,RotatedElliptic,30,12,2609.961505617893
CBA-SHADE,RotatedElliptic,30,13,525.1957858898832
CBA-SHADE,RotatedElliptic,30,14,271.07034993357047
CBA-SHADE,RotatedElliptic,30,15,718.6215835171415
CBA-SHADE,RotatedElliptic,30,16,2371.9247234211807
CBA-SHADE,RotatedElliptic,30,17,263.2516475181931
CBA-SHADE,RotatedElliptic,30,18,5152.688594930432
CBA-SHADE,RotatedElliptic,30,19,417.3651429653618
CBA-SHADE,RotatedElliptic,30,20,1554.8793066270416
CBA-SHADE,RotatedElliptic,30,21,470.9549930439494
CBA-SHADE,RotatedElliptic,30,22,19.36055446127101
CBA-SHADE,RotatedElliptic,30,23,12040.33176610838
CBA-SHADE,RotatedElliptic,30,24,320.7373567162573
CBA-SHADE,RotatedElliptic,30,25,156.16708636820292
CBA-SHADE,RotatedElliptic,30,26,36.54022832503157
CBA-SHADE,RotatedElliptic,30,27,15221.176296283804
CBA-SHADE,RotatedElliptic,30,28,7.5347797674110355
CBA-SHADE,RotatedElliptic,30,29,6262.1786005491285
CBA-SHADE,Schwefel,30,0,0.0003818269888142
CBA-SHADE,Schwefel,30,1,0.0003818269888142
CBA-SHADE,Schwefel,30,2,0.0003818269888142
CBA-SHADE,Schwefel,30,3,0.0003818269888142
CBA-SHADE,Schwefel,30,4,0.0003818269888142
CBA-SHADE,Schwefel,30,5,0.0003818269888142
CBA-SHADE,Schwefel,30,6,0.0003818269888142
CBA-SHADE,Schwefel,30,7,0.0003818269888142
CBA-SHADE,Schwefel,30,8,0.0003818269888142
CBA-SHADE,Schwefel,30,9,0.0003818269888142
CBA-SHADE,Schwefel,30,10,0.0003818269888142
CBA-SHADE,Schwefel,30,11,0.0003818269888142
CBA-SHADE,Schwefel,30,12,0.0003818269888142
CBA-SHADE,Schwefel,30,13,0.0003818269888142
CBA-SHADE,Schwefel,30,14,0.0003818269888142
CBA-SHADE,Schwefel,30,15,0.0003818269888142
CBA-SHADE,Schwefel,30,16,0.0003818269888142
CBA-SHADE,Schwefel,30,17,0.0003818269888142
CBA-SHADE,Schwefel,30,18,0.0003818269888142
CBA-SHADE,Schwefel,30,19,0.0003818269888142
CBA-SHADE,Schwefel,30,20,0.0003818269888142
CBA-SHADE,Schwefel,30,21,0.0003818269888142
CBA-SHADE,Schwefel,30,22,0.0003818269888142
CBA-SHADE,Schwefel,30,23,0.0003818269888142
CBA-SHADE,Schwefel,30,24,0.0003818269888142
CBA-SHADE,Schwefel,30,25,0.0003818269888142
CBA-SHADE,Schwefel,30,26,0.0003818269888142
CBA-SHADE,Schwefel,30,27,0.0003818269888142
CBA-SHADE,Schwefel,30,28,0.0003818269888142
CBA-SHADE,Schwefel,30,29,0.0003818269888142
CBA-SHADE,Zakharov,30,0,5.282670438018835e-25
CBA-SHADE,Zakharov,30,1,2.291685611241749e-26
CBA-SHADE,Zakharov,30,2,5.881159115508837e-27
CBA-SHADE,Zakharov,30,3,5.685331945433103e-26
CBA-SHADE,Zakharov,30,4,1.1964853646201302e-25
CBA-SHADE,Zakharov,30,5,7.362996038479213e-26
CBA-SHADE,Zakharov,30,6,5.78519766847004e-25
CBA-SHADE,Zakharov,30,7,1.919376858358637e-24
CBA-SHADE,Zakharov,30,8,4.336375452607218e-25
CBA-SHADE,Zakharov,30,9,3.500745911729168e-27
CBA-SHADE,Zakharov,30,10,7.095014134148605e-26
CBA-SHADE,Zakharov,30,11,1.446427314273257e-26
CBA-SHADE,Zakharov,30,12,1.2052932585533951e-26
CBA-SHADE,Zakharov,30,13,5.205005941749301e-26
CBA-SHADE,Zakharov,30,14,7.96771778023379e-27
CBA-SHADE,Zakharov,30,15,4.019637661065754e-25
CBA-SHADE,Zakharov,30,16,1.9427887416372649e-25
CBA-SHADE,Zakharov,30,17,2.1543367616998067e-27
CBA-SHADE,Zakharov,30,18,3.663331068741592e-26
CBA-SHADE,Zakharov,30,19,2.336402815655504e-25
CBA-SHADE,Zakharov,30,20,5.586745055286678e-26
CBA-SHADE,Zakharov,30,21,1.2620973273568164e-24
CBA-SHADE,Zakharov,30,22,7.668629333962208e-28
CBA-SHADE,Zakharov,30,23,8.7909120074618e-25
CBA-SHADE,Zakharov,30,24,7.887019004448032e-27
CBA-SHADE,Zakharov,30,25,9.179493765202312e-25
CBA-SHADE,Zakharov,30,26,2.3287041109995304e-25
CBA-SHADE,Zakharov,30,27,6.930109926371545e-27
CBA-SHADE,Zakharov,30,28,8.026401173788061e-26
CBA-SHADE,Zakharov,30,29,2.595367785616684e-27
L-SHADE,Ackley,30,0,2.4411583865457938e-12
L-SHADE,Ackley,30,1,4.363176486776865e-12
L-SHADE,Ackley,30,2,2.309707980430176e-12
L-SHADE,Ackley,30,3,3.2085445411667024e-12
L-SHADE,Ackley,30,4,3.254729818991109e-12
L-SHADE,Ackley,30,5,3.47144535339794e-12
L-SHADE,Ackley,30,6,6.491251980378365e-12
L-SHADE,Ackley,30,7,6.790124018607457e-13
L-SHADE,Ackley,30,8,1.0378364834195965e-12
L-SHADE,Ackley,30,9,1.41797684705125e-12
L-SHADE,Ackley,30,10,2.4944490917278017e-12
L-SHADE,Ackley,30,11,5.794920099333467e-12
L-SHADE,Ackley,30,12,3.833822148635591e-12
L-SHADE,Ackley,30,13,6.111111616746712e-12
L-SHADE,Ackley,30,14,8.708589405159728e-13
L-SHADE,Ackley,30,15,1.7768009286101005e-12
L-SHADE,Ackley,30,16,1.4215295607300504e-12
L-SHADE,Ackley,30,17,5.7842619582970656e-12
L-SHADE,Ackley,30,18,2.5726087926614127e-12
L-SHADE,Ackley,30,19,1.34692257347524e-12
L-SHADE,Ackley,30,20,2.281286270999772e-12
L-SHADE,Ackley,30,21,2.707611912455832e-12
L-SHADE,Ackley,30,22,1.7696955012524997e-12
L-SHADE,Ackley,30,23,3.610001186871159e-12
L-SHADE,Ackley,30,24,2.6862956303830288e-12
L-SHADE,Ackley,30,25,2.7999824681046448e-12
L-SHADE,Ackley,30,26,2.814193322819847e-12
L-SHADE,Ackley,30,27,1.737721078143295e-12
L-SHADE,Ackley,30,28,5.617728504603292e-13
L-SHADE,Ackley,30,29,2.2670754162845697e-12
L-SHADE,BentCigar,30,0,1.2473361006950348e-15
L-SHADE,BentCigar,30,1,8.094024181219211e-15
L-SHADE,BentCigar,30,2,1.2990728834267135e-16
L-SHADE,BentCigar,30,3,2.5690076555878452e-14
L-SHADE,BentCigar,30,4,7.435108189192804e-14
L-SHADE,BentCigar,30,5,7.906660631321247e-16
L-SHADE,BentCigar,30,6,1.1978065178325424e-14
L-SHADE,BentCigar,30,7,7.963605846745719e-15
L-SHADE,BentCigar,30,8,6.081085046736335e-15
L-SHADE,BentCigar,30,9,5.0372538273968876e-14
L-SHADE,BentCigar,30,10,1.4102691700015191e-14
L-SHADE,BentCigar,30,11,6.541836292806181e-15
L-SHADE,BentCigar,30,12,2.034748211970749e-15
L-SHADE,BentCigar,30,13,1.0730320903753153e-13
L-SHADE,BentCigar,30,14,7.242833233255768e-16
L-SHADE,BentCigar,30,15,7.304855820532296e-16
L-SHADE,BentCigar,30,16,2.410743693947952e-14
L-SHADE,BentCigar,30,17,1.3760579880110099e-14
L-SHADE,BentCigar,30,18,4.4824565398202265e-14
L-SHADE,BentCigar,30,19,1.143231960697122e-14
L-SHADE,BentCigar,30,20,1.4358876585138995e-14
L-SHADE,BentCigar,30,21,2.433780408353081e-14
L-SHADE,BentCigar,30,22,1.8136248914536396e-13
L-SHADE,BentCigar,30,23,1.0660497672463994e-14
L-SHADE,BentCigar,30,24,5.230143042059842e-15
L-SHADE,BentCigar,30,25,2.6732621059494512e-14
L-SHADE,BentCigar,30,26,4.7078262504368756e-14
L-SHADE,BentCigar,30,27,7.708624255547698e-15
L-SHADE,BentCigar,30,28,2.918192850415707e-13
L-SHADE,BentCigar,30,29,7.122990313328378e-14
L-SHADE,Composition,30,0,1.1388667786653537e-12
L-SHADE,Composition,30,1,5.819567050607124e-12
L-SHADE,Composition,30,2,1.0464962230157806e-12
L-SHADE,Composition,30,3,2.394751064137976e-12
L-SHADE,Composition,30,4,5.416334048046311e-12
L-SHADE,Composition,30,5,1.0038636588698476e-12
L-SHADE,Composition,30,6,5.9581228840864345e-12
L-SHADE,Composition,30,7,5.307976280838495e-12
L-SHADE,Composition,30,8,6.343592318254157e-12
L-SHADE,Composition,30,9,2.5297541839348917e-12
L-SHADE,Composition,30,10,1.2934098236945742e-12
L-SHADE,Composition,30,11,7.929878975923456e-12
L-SHADE,Composition,30,12,8.191225475709539e-13
L-SHADE,Composition,30,13,9.493072994697864e-12
L-SHADE,Composition,30,14,1.360911383592453e-12
L-SHADE,Composition,30,15,4.990008406573581e-12
L-SHADE,Composition,30,16,8.667067064320399e-12
L-SHADE,Composition,30,17,4.785727370035115e-12
L-SHADE,Composition,30,18,2.160271961333117e-12
L-SHADE,Composition,30,19,1.845856800754559e-12
L-SHADE,Composition,30,20,4.2654768606166763e-13
L-SHADE,Composition,30,21,3.762545830507747e-12
L-SHADE,Composition,30,22,2.4213964167294626e-12
L-SHADE,Composition,30,23,2.204680882318864e-12
L-SHADE,Composition,30,24,2.5155433292194195e-12
L-SHADE,Composition,30,25,1.4532819392422378e-12
L-SHADE,Composition,30,26,1.955990924798952e-12
L-SHADE,Composition,30,27,4.80704365210863e-12
L-SHADE,Composition,30,28,3.2118752102792437e-12
L-SHADE,Composition,30,29,2.936539900165884e-12
L-SHADE,DynamicSphere,30,0,1.3103562276341325
L-SHADE,DynamicSphere,30,1,1.3834599314945792
L-SHADE,DynamicSphere,30,2,1.3215362312654753
L-SHADE,DynamicSphere,30,3,1.1247802728817038
L-SHADE,DynamicSphere,30,4,1.0387525336201842
L-SHADE,DynamicSphere,30,5,1.9976285373965093
L-SHADE,DynamicSphere,30,6,0.9909390651097054
L-SHADE,DynamicSphere,30,7,0.9488127003756576
L-SHADE,DynamicSphere,30,8,0.9086082502184608
L-SHADE,DynamicSphere,30,9,1.0588897042776877
L-SHADE,DynamicSphere,30,10,1.3328986375398122
L-SHADE,DynamicSphere,30,11,1.807475658358339
L-SHADE,DynamicSphere,30,12,0.7978097702767997
L-SHADE,DynamicSphere,30,13,0.9366127015371762
L-SHADE,DynamicSphere,30,14,1.530416354671121
L-SHADE,DynamicSphere,30,15,1.4759574348114337
L-SHADE,DynamicSphere,30,16,1.0792709170984969
L-SHADE,DynamicSphere,30,17,1.1051276290236438
L-SHADE,DynamicSphere,30,18,1.2062759839331398
L-SHADE,DynamicSphere,30,19,1.2602384705633236
L-SHADE,DynamicSphere,30,20,0.9027597313140652
L-SHADE,DynamicSphere,30,21,1.0001562819501033
L-SHADE,DynamicSphere,30,22,1.7003572793554955
L-SHADE,DynamicSphere,30,23,1.2576413535877726
L-SHADE,DynamicSphere,30,24,1.22467572832656
L-SHADE,DynamicSphere,30,25,0.6749595571397868
L-SHADE,DynamicSphere,30,26,0.9477705351573416
L-SHADE,DynamicSphere,30,27,1.0941959525428908
L-SHADE,DynamicSphere,30,28,0.8478212970616827
L-SHADE,DynamicSphere,30,29,0.9743039206944848
L-SHADE,Griewank,30,0,0.0
L-SHADE,Griewank,30,1,0.0
L-SHADE,Griewank,30,2,0.0
L-SHADE,Griewank,30,3,0.0
L-SHADE,Griewank,30,4,1.1102230246251563e-16
L-SHADE,Griewank,30,5,0.0
L-SHADE,Griewank,30,6,0.0
L-SHADE,Griewank,30,7,0.0
L-SHADE,Griewank,30,8,0.0
L-SHADE,Griewank,30,9,0.0
L-SHADE,Griewank,30,10,1.1102230246251563e-16
L-SHADE,Griewank,30,11,0.0
